NEWBOOK-bodhyana_0001	1	1	"αññαñ┐ Bag ΓÇö"	""""""
NEWBOOK-bodhyana_0002	1	1	"us αñ£αÑç αñ¼αñ¿ αñ╕αÑìαñû αñ╖ αñ»αÑçαñ¡αñ╛αñºαÑìαñ»αñ╛αñ»αñâ;  αÑº"	"''"
NEWBOOK-bodhyana_0002	1	2	")  αñúαÑìαñí αÑ«αÑºαÑºαÑ»; αñ¬αñÑ gs ae Bhs ┬⌐ Dharmartha Trust J&K. Digitized by eGangotri Pgs  ia ~ 1"	""
NEWBOOK-bodhyana_0002	1	3	"at 3  αññαñò aN, Re is we tn kn"	""
NEWBOOK-bodhyana_0003	1	1	"┬⌐ αñ¿ Trust J&K. Digitized by eGangotri"	""
NEWBOOK-bodhyana_0004	1	1	"αñ»αñ¿ αñ╡αñ╛αñ╡αÑçαññαÑìαñ╕αÑìαñ»αñ«αñ¿αÑìαñ»αñ╡αÑç.αñûαñ╛αñ»αñ╛αñ¡αÑìαñ░αñ╛αñ¼αÑÇαñ╡αÑïαñªαñ╡αÑìΓÇî"	"The one who is not to be known, like the sky."
NEWBOOK-bodhyana_0004	1	2	"αñ╡αñ╛αñ¼ αÑ¼ αñ¬αñéαñúαÑÇαñ╡αñ╣αÑüαñ╢αñ╛αñûαñ╛αñùαÑìαñ░αñ▓αñ┐αñ╢αÑìαñÜαÑüαñòαÑìαñ╛αñùαÑìαñ░αñ╛αñ¿αñ╡αññαñ┐αññαñ╛αñ«αÑÇ"	""
NEWBOOK-bodhyana_0004	1	3	"(αñèαñ¿αñ▓αÑÇαñ╡αÑìαñ╡ αññαñ┐ ANAM AVANT AIL TAIZY: GAT MEAL  eee  ΓÇöΓÇö  αñò  αñÅαñ╕αÑìαÑÇαñùαñ╢αñ╛αñ»αñ¿αñ╕0αñ¼αñ»αñ╛αñ«αñ╛αñ╡αñ╛αñ╢αñ»αñ¿αñ╡αñ╛αñºαÑïαñ╢αÑÇ αñ«αñ«αÑìαñ▓αÑçαñ¿αñ╡αñ╛ αñ░αÑüαñ╡αñ┐αñ¬αñ╛αñ»αñ╢αÑìαñ»αñ«αñ╛αñÅ"	""
NEWBOOK-bodhyana_0004	1	4	"αñ¡αñ╡αññαÑìαññαñ┐αñ╕ αñ¬αÑüαñ░ αñ╕αÑìαññαñ╛αñ¬αñ╡"	"Your presence is established in the city."
NEWBOOK-bodhyana_0004	1	5	"αñ╣ αñ╡αñ┐αññ αñÜαñ¿αñ«αÑüαñòαÑçαñ▓αÑìαñ»αÑìαñ»αññ αñÅ αñ«αñ╛αñ╣αÑçαñ¿αñ╡αñ╛αñ╖αÑìαñ»αñ╣ αñ¿αñ╡αñ╛αñ» αñá αñ»αñ╡αÑç αñ¼αÑìαñ░αñ╛αñ╣αÑìαñ«αñÅαñ¡αÑâαñ╡αñ¿αñ┐αñªαñ¿αÑìαñ¿αñ╛αñÜαñ¿αñòαÑìαññαñ┐αññαññαÑç αñ╢αÑìαñ░αñ╡"	"He who is endowed with the qualities of a Brahmin, may he protect us from all evils."
NEWBOOK-bodhyana_0004	1	6	"αñ»αñ╛αñÿαÑìαñ░αñ┐αñ╣αñòαÑïαñòαÑçαñ╖αñúαñÅαñ«αñùαÑìαñúαñ╛αññαñ¿αñòαÑìαññαñ┐αñ»αñ£αÑìαññαñ╕αÑìαñ╡αñ╕αÑçαññαññαÑìαñ»αñ╛αñ░ αññαñ┐αñÜ αñªαñ«αññ A Aang ain wna"	""
NEWBOOK-bodhyana_0004	1	7	"FACNAAT AA AMCIAMNEMNAMAMCAWAAMMETNAITA EQ IIAGNI RITA GMAAMAAM IM AATSA TNC ATRIA  'αññαñ┐αñ░αñ╡αñ╛αñòαñ╕αñ╡αñ┐αññαñ╛αñ╢αÑìαñ░αñ╛αñÿαÑçαñúαñ▓αÑüαñ╢αÑìαñ░αÑçαñ¢αÑçαññαñ«αñ╛αñ£ FAG MTA GAA MAIN AAAI at αñ╕αñ╡αññαÑÇ αñ» SAMARIA LA ATA αñ▓αñ╛αñ░αÑìΓÇî αñ╕αÑìαñ»αñé OA: TRAV αñªαñò αññαñ┐αñ╢αÑìαñ░αñ»αñ╛αÑìαñ░αñÜαñ┐αñ¿αÑìαñ░ αñ¿αÑïαñ¬αññαÑïαñ╕αÑìαñ»αñ╛αññαñ╡αñªαÑìαñºαñ╛αñ░αñ┐αñúαñ┐ αñ»αñ«αñ╛αñ¿αÑç MAMA AMMA AUST  ΓÇö  es  ┬⌐ Dharmartha Trust J&K. Digitized by eGangotri"	""
NEWBOOK-bodhyana_0004	1	8	"αñ¿~  AA  WCU"	""
NEWBOOK-bodhyana_0005	1	1	"αñ¿αÑÇαñ»αñ¬αñ»αÑïαñ╖αñƒαñû αñº αñªαÑìαñ╡αñ╛αñ░αñ╛ αñ¬αÑìαñ░αñ¬αñ╛αñ»αñ£αñºαñ¿αÑçαñ¿αÑçαñùαñ╛αñ░αÑìαñ╣ αñ¬αñ« αñÜαñ░αñ╛ αñ¼αñ╛αñçαÑìαñ»αñ╛αñùαñ╛αñ░"	"The translation is unclear due to the fragmented nature of the text. Please provide a complete and coherent snippet for translation."
NEWBOOK-bodhyana_0005	1	2	"` αññαñ┐αñûαÑìαñ▓αñ«αñ╛αñ¿αñ╕αÑìαñ»αñéαñúαÑì-αñ¬αñ╛αñ╣"	"Tikhla-m─ünasyaß╣üß╣ça-p─üha"
NEWBOOK-bodhyana_0005	1	3	"αññαñ┐αñ¿αÑü αñ»αÑæαñªαñ┐αñ░αÑìαñ╕αñ¿ αñ╕αñ¿αñ┐ αñ»αñªαÑìαñ»αñòαÑçαñ¿αÑìΓÇî.αñ╕αñ¿αÑçαñ»αñ╛αññαñ┐ as cea αñÅ"	"The three Yadavas are like the sun; they shine brightly."
NEWBOOK-bodhyana_0005	1	4	"αñïαñàαñÑαñ¿αÑìΓÇîαñºαñ¿αÑçαñ¿αñùαñ╛αñ╣αñ¬αñ»αññαñ┐αñ╖αÑìαñƒαñ¿αñ╡αñ┐αñ╕αÑìαñ╡αñ╛αñâαñÜ αñ¬αñ░αñ╢αÑìαñ¢αÑüαñ╡αñ╛ αñ╕αñ▓αÑç CAAT AAA AAACN αñ¬αÑìαñ░ ATA EMTS SLA UAC AAD AAA αñÜαñ╛αñ╖αñ╕αÑìαñ╕αÑÇαññαñ┐αñùαñ╛αñ╣αñ»αñ▓αÑçαñ¬αÑìαñ░αñ▓αÑçαññαñúαñ▓αñ┐αññαÑìαñ░ GFSEELAM AA MNAIAIAALM EIMDAAAAAAAM af αñÅαñ¼αñ╣αÑìαñƒαñ┐αñéαñ░ αñ¢αñ« αñ»αÑüαñ¿αñ╛ αñ░αññ αñ╕αÑìαñ╡ αñ»αñ╛αñ╡αñ┐αññ Basle AF AWM EL PUAGANCAENALE MAG"	""
NEWBOOK-bodhyana_0005	1	5	"αñ¬αÑìαñ░αñ»αñ╡αÑçαñÜαÑìαññαññαñ»αññαÑï LNA TAFE AAI AAGACHMAIARMA αñ»αñ╛αñ╡αÑç αññαñ«αÑç AM"	""
